enormously,tremendously,,guess
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,,guess
flawed,imperfect,,guess
urgently,desperately,,guess
consumed,eaten,eaten,correct
advent,coming,,guess
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,alert,wrong
hasten,accelerate,,guess
perseverance,endurance,,guess
fanciful,imaginative,,guess
showed,demonstrated,,guess
constantly,continually,accidentally,wrong
issues,subjects,,guess
furnish,supply,,guess
costly,expensive,,guess
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,,guess
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,,guess
arranged,planned,explained,wrong
infinite,limitless,,guess
showy,striking,,guess
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,,guess
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,,guess
hue,color,,guess
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,,guess
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,,guess
essentially,basically,,guess
keen,sharp,simple,wrong
situated,positioned,,guess
principal,major,most,wrong
slowly,gradually,,guess
built,constructed,,guess
tasks,jobs,,guess
unlikely,improbable,,guess
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,,guess
hailed,acclaimed,remembered,wrong
command,mastery,,guess
concocted,devised,,guess
prospective,potential,,guess
generally,broadly,,guess
sustained,prolonged,lowered,wrong
perilous,dangerous,,guess
tranquillity,peacefulness,,guess
dissipate,disperse,,guess
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,,guess
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,,guess
terminated,ended,,guess
uniform,alike,hard,wrong
figure,solve,,guess
sufficient,enough,,guess
fashion,manner,,guess
marketed,sold,,guess
bigger,larger,,guess
roots,origins,,guess
normally,ordinarily,,guess
